name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pseudothermotoga thermarum DSM 5069	688269	leaf	2039943	1	0	0.0
Novosphingobium sp. PP1Y	702113	species	5313905	1	1	0.0
Corynebacterium sp. NML98-0116	702967	species	2365449	1	1	0.0
Actinomyces sp. oral taxon 414	712122	species	3836419	1	1	0.0
Streptococcus sp. oral taxon 431	712633	species	2177905	1	1	0.0
Amycolatopsis mediterranei S699	713604	leaf	20483699	2	0	0.0
Amycolatopsis mediterranei U32	749927	leaf	10236715	1	0	0.0
Rothia dentocariosa ATCC 17931	762948	leaf	2506025	1	1	0.0
Halalkalicoccus jeotgali B3	795797	leaf	3698650	1	1	0.0
Marinithermus hydrothermalis DSM 14884	869210	leaf	2269167	1	1	0.0
Cyclobacterium marinum DSM 745	880070	leaf	6221273	1	1	0.0
Streptococcus oralis Uo5	927666	leaf	1958690	2	2	0.0
Dokdonia sp. 4H-3-7-5	983548	species	3389993	1	1	0.0
Marinovum algicola DG 898	988812	leaf	5252390	1	1	0.0
Polymorphum gilvum SL003B-26A1	991905	leaf	4718963	1	1	0.0
Pseudomonas stutzeri DSM 4166	996285	leaf	4689946	1	0	0
Propionibacterium acnes 6609	1031709	leaf	2560282	6	0	8.9198e-09
Rhodococcus sp. WB1	1033922	species	6148559	1	0	0.0
Pseudomonas fluorescens A506	1037911	leaf	6019547	1	0	0.0
Mycobacterium canettii CIPT 140010059	1048245	leaf	4482059	1	0	0.0
Streptococcus pseudopneumoniae IS7493	1054460	leaf	2195458	1	1	0.0
Amycolatopsis methanolica 239	1068978	leaf	7237391	1	1	0.0
Thiolapillus brandeum	1076588	species	3153637	1	1	0.0
Mesorhizobium amorphae CCNWGS0123	1082933	leaf	7343952	1	0	0.0
Propionibacterium acnes subsp. defendens ATCC 11828	1091045	leaf	2488626	20	1	2.4337e-07
Propionibacterium acnes TypeIA2 P.acn33	1114966	leaf	2489623	1	0	1.63678e-08
Propionibacterium acnes TypeIA2 P.acn17	1114967	leaf	2522885	2	1	0
Propionibacterium acnes TypeIA2 P.acn31	1114969	leaf	2498766	1	0	0
Corynebacterium halotolerans YIM 70093 = DSM 44683	1121362	leaf	3222008	1	0	0.0
Enterobacteria phage HK630	1147146	species	47090	10	0	7.59548e-05
Bibersteinia trehalosi USDA-ARS-USMARC-192	1171377	leaf	2407846	1	0	0.0
Rhodovulum sulfidophilum DSM 1374	1188256	leaf	4347929	1	0	0.0
Staphylococcus warneri SG1	1194526	leaf	2560716	3	3	0.0
Amycolatopsis mediterranei RB	1221524	leaf	10246864	1	0	0.0
Bradyrhizobium sp. CCGE-LA001	1223566	species	7833499	2	0	0.0
Azospirillum humicireducens	1226968	species	3181617	1	0	0.0
Actinoplanes friuliensis DSM 7358	1246995	leaf	9376071	1	0	0.0
Bibersteinia trehalosi USDA-ARS-USMARC-190	1263832	leaf	2443169	1	0	0.0
Cupriavidus gilardii CR3	1267562	leaf	5578743	1	0	0.0
Staphylococcus pasteuri SP1	1276282	leaf	2559946	1	1	0.0
Myxococcus stipitatus DSM 14675	1278073	leaf	10350586	2	2	0.0
Nocardioides dokdonensis FR1436	1300347	leaf	4376707	1	1	0.0
Streptococcus cristatus AS 1.3089	1302863	leaf	2142100	1	1	0.0
Serratia liquefaciens ATCC 27592	1346614	leaf	5282719	1	1	0.0
Bradyrhizobium diazoefficiens	1355477	species	18211892	1	0	0.0
Methyloceanibacter caenitepidi	1384459	species	3424964	1	0	0.0
Celeribacter marinus	1397108	species	3096705	1	0	0.0
Streptomyces lydicus A02	1403539	leaf	9300149	1	0	0.0
Pseudomonas aeruginosa LES431	1408272	leaf	6550070	1	0	0
Hymenobacter sp. DG5B	1411621	species	4868852	1	1	0.0
Nocardia nova SH22a	1415166	leaf	8348532	1	1	0.0
Streptomyces leeuwenhoekii	1437453	species	8122491	1	1	0.0
